Date,Open,High,Low,Close,Adj Close,Volume
"Jun 12, 2007",1509.12,1511.33,1492.97,1493,1493,3056200000
"Jun 11, 2007",1507.64,1515.53,1503.35,1509.12,1509.12,2525280000
"Jun 08, 2007",1490.71,1507.76,1487.41,1507.67,1507.67,2993460000
"Jun 07, 2007",1517.36,1517.36,1490.37,1490.72,1490.72,3538470000
"Jun 06, 2007",1530.57,1530.57,1514.13,1517.38,1517.38,2964190000
"Jun 05, 2007",1539.12,1539.12,1525.62,1530.95,1530.95,2939450000
"Jun 04, 2007",1536.28,1540.53,1532.31,1539.18,1539.18,2738930000
"Jun 01, 2007",1530.62,1540.56,1530.62,1536.34,1536.34,2927020000
"May 31, 2007",1530.19,1535.56,1528.26,1530.62,1530.62,3335530000
"May 30, 2007",1517.6,1530.23,1510.06,1530.23,1530.23,2980210000
"May 29, 2007",1515.55,1521.8,1512.02,1518.11,1518.11,2571790000
"May 25, 2007",1507.5,1517.41,1507.5,1515.73,1515.73,2316250000
"May 24, 2007",1522.1,1529.31,1505.18,1507.51,1507.51,3365530000
"May 23, 2007",1524.09,1532.43,1521.9,1522.28,1522.28,3084260000
"May 22, 2007",1525.1,1529.24,1522.05,1524.12,1524.12,2860500000
"May 21, 2007",1522.75,1529.87,1522.71,1525.1,1525.1,3465360000
"May 18, 2007",1512.74,1522.75,1512.74,1522.75,1522.75,2959050000
"May 17, 2007",1514.01,1517.14,1509.29,1512.75,1512.75,2868640000
"May 16, 2007",1500.75,1514.15,1500.75,1514.14,1514.14,2915350000
"May 15, 2007",1503.11,1514.83,1500.43,1501.19,1501.19,3071020000
"May 14, 2007",1505.76,1510.9,1498.34,1503.15,1503.15,2776130000
"May 11, 2007",1491.47,1506.24,1491.47,1505.85,1505.85,2720780000
"May 10, 2007",1512.33,1512.33,1491.42,1491.47,1491.47,3031240000
"May 09, 2007",1507.32,1513.8,1503.77,1512.58,1512.58,2935550000
"May 08, 2007",1509.36,1509.36,1500.66,1507.72,1507.72,2795720000
"May 07, 2007",1505.57,1511,1505.54,1509.48,1509.48,2545090000
"May 04, 2007",1502.35,1510.34,1501.8,1505.62,1505.62,2761930000
"May 03, 2007",1495.56,1503.34,1495.56,1502.39,1502.39,3007970000
"May 02, 2007",1486.13,1499.1,1486.13,1495.92,1495.92,3189800000
"May 01, 2007",1482.37,1487.27,1476.7,1486.3,1486.3,3400350000
"Apr 30, 2007",1494.07,1497.16,1482.29,1482.37,1482.37,3093420000
"Apr 27, 2007",1494.21,1497.32,1488.67,1494.07,1494.07,2732810000
"Apr 26, 2007",1495.27,1498.02,1491.17,1494.25,1494.25,3211800000
"Apr 25, 2007",1480.28,1496.59,1480.28,1495.42,1495.42,3252590000
"Apr 24, 2007",1480.93,1483.82,1473.74,1480.41,1480.41,3119750000
"Apr 23, 2007",1484.33,1487.32,1480.19,1480.93,1480.93,2575020000
"Apr 20, 2007",1470.69,1484.74,1470.69,1484.35,1484.35,3329940000
"Apr 19, 2007",1472.48,1474.23,1464.47,1470.73,1470.73,2913610000
"Apr 18, 2007",1471.47,1476.57,1466.41,1472.5,1472.5,2971330000
"Apr 17, 2007",1468.47,1474.35,1467.15,1471.48,1471.48,2920570000
"Apr 16, 2007",1452.84,1468.62,1452.84,1468.33,1468.33,2870140000
"Apr 13, 2007",1447.8,1453.11,1444.15,1452.85,1452.85,2690020000
"Apr 12, 2007",1438.87,1448.02,1433.91,1447.8,1447.8,2770570000
"Apr 11, 2007",1448.23,1448.39,1436.15,1438.87,1438.87,2950190000
"Apr 10, 2007",1444.58,1448.73,1443.99,1448.39,1448.39,2510110000
"Apr 09, 2007",1443.77,1448.1,1443.28,1444.61,1444.61,2349410000
"Apr 05, 2007",1438.94,1444.88,1436.67,1443.76,1443.76,2357230000
"Apr 04, 2007",1437.75,1440.16,1435.08,1439.37,1439.37,2616320000
"Apr 03, 2007",1424.27,1440.57,1424.27,1437.77,1437.77,2921760000
"Apr 02, 2007",1420.83,1425.49,1416.37,1424.55,1424.55,2875880000
"Mar 30, 2007",1422.52,1429.22,1408.9,1420.86,1420.86,2903960000
"Mar 29, 2007",1417.17,1426.24,1413.27,1422.53,1422.53,2854710000
"Mar 28, 2007",1428.35,1428.35,1414.07,1417.23,1417.23,3000440000
"Mar 27, 2007",1437.49,1437.49,1425.54,1428.61,1428.61,2673040000
"Mar 26, 2007",1436.11,1437.65,1423.28,1437.5,1437.5,2754660000
"Mar 23, 2007",1434.54,1438.89,1433.21,1436.11,1436.11,2619020000
"Mar 22, 2007",1435.04,1437.66,1429.88,1434.54,1434.54,3129970000
"Mar 21, 2007",1410.92,1437.77,1409.75,1435.04,1435.04,3184770000
"Mar 20, 2007",1402.04,1411.53,1400.7,1410.94,1410.94,2795940000
"Mar 19, 2007",1386.95,1403.2,1386.95,1402.06,1402.06,2777180000
"Mar 16, 2007",1392.28,1397.51,1383.63,1386.95,1386.95,3393640000
"Mar 15, 2007",1387.11,1395.73,1385.16,1392.28,1392.28,2821900000
"Mar 14, 2007",1377.86,1388.09,1363.98,1387.17,1387.17,3758350000
"Mar 13, 2007",1406.23,1406.23,1377.71,1377.95,1377.95,3485570000
"Mar 12, 2007",1402.8,1409.34,1398.4,1406.6,1406.6,2664000000
"Mar 09, 2007",1401.89,1410.15,1397.3,1402.84,1402.84,2623050000
"Mar 08, 2007",1391.88,1407.93,1391.88,1401.89,1401.89,3014850000
"Mar 07, 2007",1395.02,1401.16,1390.64,1391.97,1391.97,3141350000
"Mar 06, 2007",1374.06,1397.9,1374.06,1395.41,1395.41,3358160000
"Mar 05, 2007",1387.11,1391.86,1373.97,1374.12,1374.12,3480520000
"Mar 02, 2007",1403.16,1403.4,1386.87,1387.17,1387.17,3312260000
"Mar 01, 2007",1406.8,1409.46,1380.87,1403.17,1403.17,3874910000
"Feb 28, 2007",1398.64,1415.89,1396.65,1406.82,1406.82,3925250000
"Feb 27, 2007",1449.25,1449.25,1389.42,1399.04,1399.04,4065230000
"Feb 26, 2007",1451.04,1456.95,1445.48,1449.37,1449.37,2822170000
"Feb 23, 2007",1456.22,1456.22,1448.36,1451.19,1451.19,2579950000
"Feb 22, 2007",1457.29,1461.57,1450.51,1456.38,1456.38,1950770000
"Feb 21, 2007",1459.6,1459.6,1452.02,1457.63,1457.63,2606980000
"Feb 20, 2007",1455.53,1460.53,1449.2,1459.68,1459.68,2337860000
"Feb 16, 2007",1456.77,1456.77,1451.57,1455.54,1455.54,2399450000
"Feb 15, 2007",1455.15,1457.97,1453.19,1456.81,1456.81,2490920000
"Feb 14, 2007",1443.91,1457.65,1443.91,1455.3,1455.3,2699290000
"Feb 13, 2007",1433.22,1444.41,1433.22,1444.26,1444.26,2652150000
"Feb 12, 2007",1438,1439.11,1431.44,1433.37,1433.37,2395680000
"Feb 09, 2007",1448.25,1452.45,1433.44,1438.06,1438.06,2951810000
"Feb 08, 2007",1449.99,1450.45,1442.81,1448.31,1448.31,2816180000
"Feb 07, 2007",1447.41,1452.99,1446.44,1450.02,1450.02,2618820000
"Feb 06, 2007",1446.98,1450.19,1443.4,1448,1448,2608710000
"Feb 05, 2007",1448.33,1449.38,1443.85,1446.99,1446.99,2439430000
"Feb 02, 2007",1445.94,1449.33,1444.49,1448.39,1448.39,2569450000
"Feb 01, 2007",1437.9,1446.64,1437.9,1445.94,1445.94,2914890000
"Jan 31, 2007",1428.65,1441.61,1424.78,1438.24,1438.24,2976690000
"Jan 30, 2007",1420.61,1428.82,1420.61,1428.82,1428.82,2706250000
